Date,Time,Home,Away,Attendance,Venue,Match_Stage,Weekday,Country
2022-11-20,19:00 (21:30),Qatar ,Ecuador,67372,Al Bayt Stadium,Group Stage,Sunday,Qatar
2022-11-21,16:00 (18:30),England,Iran,45334,Khalifa International Stadium,Group Stage,Monday,Qatar
2022-11-21,19:00 (21:30),Senegal,Netherlands,41721,Al Thumama Stadium,Group Stage,Monday,Qatar
2022-11-21,22:00 (00:30),USA,Wales,43418,Ahmed bin Ali Stadium,Group Stage,Monday,Qatar
2022-11-22,13:00 (15:30),Argentina,Saudi Arabia,88012,Lusail Iconic Stadium,Group Stage,Tuesday,Qatar
2022-11-22,16:00 (18:30),Denmark,Tunisia,42925,Education City Stadium,Group Stage,Tuesday,Qatar
2022-11-22,19:00 (21:30),Mexico,Poland,39369,Stadium 974,Group Stage,Tuesday,Qatar
2022-11-22,22:00 (00:30),France,Australia,40875,Al Janoub Stadium,Group Stage,Tuesday,Qatar
2022-11-23,13:00 (15:30),Morocco,Croatia,59407,Al Bayt Stadium,Group Stage,Wednesday,Qatar
2022-11-23,16:00 (18:30),Germany,Japan,42608,Khalifa International Stadium,Group Stage,Wednesday,Qatar
2022-11-23,19:00 (21:30),Spain,Costa Rica,40013,Al Thumama Stadium,Group Stage,Wednesday,Qatar
2022-11-23,22:00 (00:30),Belgium,Canada,40432,Ahmed bin Ali Stadium,Group Stage,Wednesday,Qatar
2022-11-24,13:00 (15:30),Switzerland,Cameroon,39089,Al Janoub Stadium,Group Stage,Thursday,Qatar
2022-11-24,16:00 (18:30),Uruguay ,Korea Republic,41663,Education City Stadium,Group Stage,Thursday,Qatar
2022-11-24,19:00 (21:30),Portugal,Ghana,42662,Stadium 974,Group Stage,Thursday,Qatar
2022-11-24,22:00 (00:30),Brazil,Serbia,88103,Lusail Iconic Stadium,Group Stage,Thursday,Qatar
2022-11-25,13:00 (15:30),Wales,Iran,40875,Ahmed bin Ali Stadium,Group Stage,Friday,Qatar
2022-11-25,16:00 (18:30),Qatar ,Senegal,41797,Al Thumama Stadium,Group Stage,Friday,Qatar
2022-11-25,19:00 (21:30),Netherlands,Ecuador,44833,Khalifa International Stadium,Group Stage,Friday,Qatar
2022-11-25,22:00 (00:30),England,USA,68463,Al Bayt Stadium,Group Stage,Friday,Qatar
2022-11-26,13:00 (15:30),Tunisia,Australia,41823,Al Janoub Stadium,Group Stage,Saturday,Qatar
2022-11-26,16:00 (18:30),Poland,Saudi Arabia,44259,Education City Stadium,Group Stage,Saturday,Qatar
2022-11-26,19:00 (21:30),France,Denmark,42860,Stadium 974,Group Stage,Saturday,Qatar
2022-11-26,22:00 (00:30),Argentina,Mexico,88966,Lusail Iconic Stadium,Group Stage,Saturday,Qatar
2022-11-27,13:00 (15:30),Japan, Costa Rica,41479,Ahmed bin Ali Stadium,Group Stage,Sunday,Qatar
2022-11-27,16:00 (18:30),Belgium,Morocco,43738,Al Thumama Stadium,Group Stage,Sunday,Qatar
2022-11-27,19:00 (21:30),Croatia,Canada,44374,Khalifa International Stadium,Group Stage,Sunday,Qatar
2022-11-27,22:00 (00:30),Spain,Germany,68895,Al Bayt Stadium,Group Stage,Sunday,Qatar
2022-11-28,13:00 (15:30),Cameroon,Serbia,39789,Al Janoub Stadium,Group Stage,Monday,Qatar
2022-11-28,16:00 (18:30),Korea Republic,Ghana,43983,Education City Stadium,Group Stage,Monday,Qatar
2022-11-28,19:00 (21:30),Brazil,Switzerland,43649,Stadium 974,Group Stage,Monday,Qatar
2022-11-28,22:00 (00:30),Portugal,Uruguay,88668,Lusail Iconic Stadium,Group Stage,Monday,Qatar
2022-11-29,18:00 (20:30),Ecuador,Senegal,44569,Khalifa International Stadium,Group Stage,Tuesday,Qatar
2022-11-29,18:00 (20:30),Netherlands, Qatar,66784,Al Bayt Stadium,Group Stage,Tuesday,Qatar
2022-11-29,22:00 (00:30),Iran,USA,42127,Al Thumama Stadium,Group Stage,Tuesday,Qatar
2022-11-29,22:00 (00:30),Wales,England,44297,Ahmed bin Ali Stadium,Group Stage,Tuesday,Qatar
2022-11-30,18:00 (20:30),Australia,Denmark,41232,Al Janoub Stadium,Group Stage,Wednesday,Qatar
2022-11-30,18:00 (20:30),Tunisia,France,43627,Education City Stadium,Group Stage,Wednesday,Qatar
2022-11-30,22:00 (00:30),Saudi Arabia,Mexico,84985,Lusail Iconic Stadium,Group Stage,Wednesday,Qatar
2022-11-30,22:00 (00:30),Poland,Argentina,44089,Stadium 974,Group Stage,Wednesday,Qatar
2022-12-01,18:00 (20:30),Canada,Morocco,43102,Al Thumama Stadium,Group Stage,Thursday,Qatar
2022-12-01,18:00 (20:30),Croatia,Belgium,43984,Ahmed bin Ali Stadium,Group Stage,Thursday,Qatar
2022-12-01,22:00 (00:30),Costa Rica ,Germany,67054,Al Bayt Stadium,Group Stage,Thursday,Qatar
2022-12-01,22:00 (00:30),Japan,Spain,44851,Khalifa International Stadium,Group Stage,Thursday,Qatar
2022-12-02,18:00 (20:30),Korea Republic,Portugal,44097,Education City Stadium,Group Stage,Friday,Qatar
2022-12-02,18:00 (20:30),Ghana, Uruguay,43443,Al Janoub Stadium,Group Stage,Friday,Qatar
2022-12-02,22:00 (00:30),Cameroon,Brazil,85986,Lusail Iconic Stadium,Group Stage,Friday,Qatar
2022-12-02,22:00 (00:30),Serbia,Switzerland,41378,Stadium 974,Group Stage,Friday,Qatar
2022-12-03,18:00 (20:30),Netherlands,USA,44846,Khalifa International Stadium,Round of 16,Saturday,Qatar
2022-12-03,22:00 (00:30),Argentina,Australia,45032,Ahmed bin Ali Stadium,Round of 16,Saturday,Qatar
2022-12-04,18:00 (20:30),France,Poland,40989,Al Thumama Stadium (Neutral Site),Round of 16,Sunday,Qatar
2022-12-04,22:00 (00:30),England,Senegal,65985,Al Bayt Stadium,Round of 16,Sunday,Qatar
2022-12-05,18:00 (20:30),Japan,Croatia,42523,Al Janoub Stadium,Round of 16,Monday,Qatar
2022-12-05,22:00 (00:30),Brazil,Korea Republic,43847,Stadium 974,Round of 16,Monday,Qatar
2022-12-06,18:00 (20:30),Morocco,Spain,44667,Education City Stadium,Round of 16,Tuesday,Qatar
2022-12-06,22:00 (00:30),Portugal,Switzerland,83720,Lusail Iconic Stadium,Round of 16,Tuesday,Qatar
2022-12-09,18:00 (20:30),Croatia,Brazil,43893,Education City Stadium,Quarterfinals,Friday,Qatar
2022-12-09,22:00 (00:30),Netherlands,Argentina,88235,Lusail Iconic Stadium,Quarterfinals,Friday,Qatar
2022-12-10,18:00 (20:30),Morocco,Portugal,44198,Al Thumama Stadium,Quarterfinals,Saturday,Qatar
2022-12-10,22:00 (00:30),England,France,68895,Al Bayt Stadium,Quarterfinals,Saturday,Qatar
2022-12-13,22:00 (00:30),Argentina,Croatia,88966,Lusail Iconic Stadium,Semifinals,Tuesday,Qatar
2022-12-14,22:00 (00:30),France,Morocco,68294,Al Bayt Stadium,Semifinals,Wednesday,Qatar
2022-12-17,18:00 (20:30),Croatia,Morocco,44137,Khalifa International Stadium,Third Place,Saturday,Qatar
2022-12-18,18:00 (20:30),Argentina,France,88966,Lusail Iconic Stadium,Final,Sunday,Qatar
